paper_id,created_at,updated_at,coin,market,timeframe,tradeplan_status,side,entry,stop_loss,take_profit,risk_reward,net_risk_reward,risk_eur,position_size,start_price,current_price,status,result_type,result_r,result_pct,result_eur,close_price,closed_at,notes
PAPER-BTC-30m-20260507141222,2026-05-07 14:12:22,2026-05-07 17:06:21,BTC,BTC-EUR,30m,TE_LAAT_MAAR_PLAN_MOGELIJK,LONG,68266.384875,68111.52857823939,69045.56956,5.032,1.751,2.268412148148224,0.0146484979661814,68861.0,68030.0,SL_HIT,SL_HIT,-1.0,-0.227,-2.27,68111.52857823939,2026-05-07 17:06:21,nan | SL geraakt door candle low.
PAPER-XRP-15m-20260507170843,2026-05-07 17:08:43,2026-05-07 17:22:49,XRP,XRP-EUR,15m,PLAN_ARMED,LONG,1.1830057515,1.1805707368369605,1.20215,7.862,2.83,2.05832867672192,845.3044279218791,1.18399,1.18044,SL_HIT,SL_HIT,-1.0,-0.206,-2.06,1.1805707368369605,2026-05-07 17:22:49,nan | SL geraakt door candle low.
